attach_id,post_id,original_filename,stored_filename,mimetype,filesize,upload_time
171,0,Règles - Support to a Split Province (p18).png,143_a21d36f6e9c84ccdc5002d7dc8cbc318,image/png,31056,1731590714
210,0,Onglets exemple.png,143_3665c5ba933d2232b704e78602f03d46,image/png,5541,1737466638
220,0,Don_Quixote.png,70_0b9b021a4819f828e760ae7585e3c2ec,image/png,134544,1737553159
221,0,Don_Quixote.jpg,70_2f65ac986bd2a5d96a95b13874e5bb09,image/jpeg,15088,1737553174
224,0,ChatDiplomania_ProjetVideo_Équilibre des Forces.docx.pdf,70_b7c09cf560dfb46122e2d212783db52e,application/pdf,170534,1737665733
5,137,elo.zip,59_4cd3a7d3984bf9f51f9603f28e6a2b79,application/x-zip-compressed,96405,1662275304
6,139,elo.zip,59_966e3ce6eb888b0d7fba227f3fae5755,application/x-zip-compressed,114070,1662307416
8,199,EDC SION 2022.JPG,62_4800e996fc5a56d5dd4842f0c53273df,image/jpeg,75120,1663749758
9,212,diplomania_elo_1664003368.zip,59_0090bcd6b083382a68f67dd4962da24c,application/x-zip-compressed,126774,1664003470
10,619,La Newsletter de l’AFJD - #4.pdf,59_abde776f1b18279e5b4669704ea15d76,application/pdf,375369,1667226204
11,621,La Newsletter de l’AFJD - #3.pdf,59_221af7646a7da4e12ebfefc97e397ac0,application/pdf,464638,1667226817
12,622,La Newsletter de l’AFJD - #2.pdf,59_31160ec2f130b106864bdf4eb8af4e09,application/pdf,280262,1667227757
13,623,La Newsletter de l’AFJD - #1.pdf,59_b9a16605729f4b8d5168cb9a0e185171,application/pdf,218208,1667227782
14,630,La Newsletter de_l'AFJD #3.0.pdf,59_4697a0355c76c5e79a14186121cbbfad,application/pdf,402783,1667290339
15,849,Capture.PNG,82_166cd17e27a971399a24ffeafa6519a2,image/png,221511,1671552457
20,1599,version 0.4n.zip,82_a58134ce187878989bee543018191f4c,application/x-zip-compressed,4241804,1679996793
21,1632,newletter_5.docx.pdf,59_4d506da4fe8630891c90ae527a0199a8,application/pdf,212418,1680324445
22,1633,AG_28_01_2023.pptx.pdf,59_cb3ec75478aa94772dcab5adbdcbccfa,application/pdf,233077,1680324600
24,1864,git.PNG,82_9ee0a23f691ca9aa620427815528fc55,image/png,39177,1682178726
25,2579,log_after.zip,59_23e28cd42d40cee29ccdedf3018ee8c7,application/x-zip-compressed,322920,1694732924
35,2745,wdc general classification.JPG,62_9c3804d88acda11c73f19137a8a5fe76,image/jpeg,86472,1697011384
36,2756,0.jpg,59_eee767ac41d04f10450cfcadaaaacffb,image/jpeg,1547,1697044643
37,2769,feed_troll.jpeg,59_0d26f324c6aff7d161c9ad0bfc518c9c,image/jpeg,13800,1697268400
38,2873,War of Austrian succession.png,62_bf05831c3c82470848faaef75a9c8c5e,image/png,254580,1699464914
40,3158,AncientMed9_Names print.png,62_b4654cc394ecb7d0abe5b29d954998fc,image/png,321501,1701614173
41,3186,Capture d'écran 2023-12-05 140149.png,146_37a276cfa6f13dc6371da614586e544d,image/png,39078,1701781371
42,3217,Enland1.jpg,70_754b911ace0ebb1485eaea0b007494dc,image/jpeg,28564,1701958033
43,3217,Russia.jpg,70_481844a5cb767f84dde5e769811060a3,image/jpeg,48563,1701958090
45,3217,Italy.jpg,70_3882d0aba4c71bbd59bc56497f5418d1,image/jpeg,62568,1701958806
48,3220,Tableau Proposition 04.jpg,143_329cf9df29cb8444f0319a2b214c1632,image/jpeg,130915,1701968475
49,3230,Egemonia thrace 3.2.JPG,62_7148888b9e4028ee90f0f3e80cca1540,image/jpeg,60646,1702020208
50,3252,MSF-copyleft4.jpg,143_267da0b3a5523d220d9d6fcc714c8d47,image/jpeg,901393,1702208856
51,3257,Hundred Diplomania.png,62_c6f14dbc56d474aabec79a8a992a3a4e,image/png,255177,1702313320
54,3258,Statuts_AFJD.pdf,59_c91df2fce257d451acf08ef9fdbd2fe8,application/pdf,417184,1702319156
55,3270,Aegemonia 3.2 position de depart.jpg,62_edf237cd687d4aa3054cc7387638ea74,image/jpeg,1476609,1702447138
56,3333,Nav barre top.jpg,143_284946237965844517b4c2ccfa1d433a,image/jpeg,49197,1703016563
57,3360,10 - modern.gif,62_d70846ad5985b3e356c317d744daac04,image/gif,37808,1703282704
58,3373,Ottoman Isolationiste.JPG,62_a634c8ed894648f7f8ed013a1fc56241,image/jpeg,89244,1703580911
59,3374,Sandard.JPG,62_5652fe090fefa4ef81015c9d20377408,image/jpeg,92477,1703582667
60,3374,Ottoman Isolationiste.JPG,62_aa64388ec6d6ecdcc3fe607d46bc822d,image/jpeg,89244,1703585875
61,3374,Aegemonia 3.2 position de depart.jpg,62_93e08b911f26784743364c9a8b63e5bb,image/jpeg,1476609,1703586970
62,3384,Canton Vfinale Bis.png,73_4d0b6c62f9bf24de1762a62c41f21ce7,image/png,70265,1703855060
63,3397,ELO.zip,59_5e8a8a51efc5183e93d50fcb2d988de6,application/x-zip-compressed,373533,1704130259
64,3402,position depart.png,73_052b0055bf5f8baf7fd9cb66c971e9df,image/png,691240,1704133877
65,3411,cold war redux.png,73_b19c851b5f73ffc9ff2e8c7c88ececea,image/png,26392,1704281426
66,3412,Autriche.png,73_c73081b96169681c9d6107be0ffbe2dd,image/png,945043,1704286336
67,3413,La grande guerre.png,73_b3cfd0a99afa99898c222c0482e4f128,image/png,253286,1704295715
68,3414,FR vs Aut.png,73_2eac679b83d0e68a800f730a90602c5d,image/png,563086,1704295849
69,3415,Carte Classique Crowded.png,73_59220231d4c4e0ef407bddec7e2dc18b,image/png,403739,1704295944
70,3429,Pastis.jpeg,62_a986cb602dd909473741d375219f34a0,image/jpeg,5775,1704870569
71,3430,Alan Calhamer.jpg,62_58371a742efdef5100642c6d3e31b677,image/jpeg,51593,1704871749
72,3433,843_treaty_of_verdun.png,73_833bc4d8131e5f17f2371295ce3f9080,image/png,110558,1704875013
73,3444,Sandard.JPG,62_8abe3ce9ee312acf541ac35d07fccc41,image/jpeg,92477,1705040088
74,3446,Rennaisance.gif,73_bb108caa4d548e6369050fdb1be52493,image/gif,15124,1705106252
75,3447,sampleMapLarge.png,73_fea3f454138b61b7fb0e89406564142f,image/png,51889,1705106393
76,3450,version v0.7a.zip,82_72afe20583d75a3e7ede8db1638b359e,application/x-zip-compressed,4089650,1705244407
77,3454,6 - second punic war map 1.0.png,62_8adb8a2c8689b06f3e07fdff29e4ca23,image/png,796271,1705422492
78,3455,1800 Empires &amp; Coalitions.png,73_961492a460f1d4c049e71cd71f281313,image/png,55725,1705426069
79,3535,Les Diadoques.jpg,62_baaef3699f33f48063aec84ed2631967,image/jpeg,1260192,1707197156
80,3540,Newletter_Fevrier_2024.pdf,59_7d58347277aa2f703eb7ea24bee17760,application/pdf,2987029,1707377733
81,3572,CR_AG_10Fev2024.pdf,59_0f7d99ab5248b427dff718f26d5c4296,application/pdf,500516,1707817034
82,3665,Aegemonia 3.2 MAP.jpg,62_530f317ec4626f25c3445d6e315d2af4,image/jpeg,1449655,1708329798
83,3675,CR_Assemblee_generale_AFJD_du_10022024-CORRIGEE.pdf,2_c1b508410afef0967a2d5f976766b455,application/pdf,625626,1708444613
84,3679,Warring states.png,62_1edad9b69f8189eede8b6134b7a23b22,image/png,628082,1708523014
85,3679,Warring States grande muraille.jpeg,62_065561c9f653a0c6a4ff57c5b14a4482,image/jpeg,10387,1708523205
87,3679,Warring state Flotting Fortress.jpeg,62_04139ad28a7c533a1e6f76c438a5edb6,image/jpeg,12146,1708523977
88,3757,stats.jpg,59_7e897773350fbe67ae8ca3edef6e251f,image/jpeg,39444,1710096531
89,3774,7 YEAR WAR LEAGUE IMAGE 2.jpeg,62_0ee35cc86b9b4d9cce7428a481415558,image/jpeg,7671,1710211134
90,3774,7 year war league 03mars 2024.JPG,62_805de728ad550ce00b9ec3afd958c2b1,image/jpeg,69933,1710211916
91,3777,Warring states.png,62_372b9a7ce166d1790401963f0b71415c,image/png,628082,1710244724
92,3781,Alekhine.jpeg,62_db98d62cba6272ed369f398dcccc9d06,image/jpeg,6552,1710257960
93,3786,Fall1903.jpg,70_8ecf2aa95bbf8f727525586058d65f6f,image/jpeg,153985,1710273920
94,3811,Bildschirmfoto 2024-03-13 um 13.57.10.png,70_fb2054a15e707ae051f700dbb77d047e,image/png,32510,1710338838
95,3811,Chromatic.png,70_5f5decfbb10a1b2fe8f65a357203cea2,image/png,32794,1710339328
185,3816,alacavre.png,70_2e8b0a90342ee13ba35b628bb24b639f,image/png,29088,1734359739
100,3832,Warring States grande muraille.jpeg,62_a3575a005a67882f59d60518bdb69cf4,image/jpeg,10387,1710437827
101,3832,Warring state Flotting Fortress.jpeg,62_85f4a9164315b3d3777845b8ba01ae8a,image/jpeg,12146,1710437898
102,3832,Warring state Rapid river move.jpeg,62_1451f156b56913d65202f12d665209de,image/jpeg,6701,1710437974
103,3860,Newsletter_AFJD_Mars_2024.pdf,59_8f487a39697f5b77787d72488ed3285c,application/pdf,1846279,1711003369
104,3865,F1903.png,70_c3ffbf0a8624d1a7eb065814fc051528,image/png,241900,1711125314
113,3924,sampleMapLarge.png,73_420e225cda34e013718e813ee6857a68,image/png,59246,1711790958
115,4047,Carte du monde romain antique. Créé en 43 après JC par le premier géographe romain..jpg,143_f2ad95219cac063eb993fa5cfb4f556d,image/jpeg,58147,1713118849
116,4053,15456250831298578977dcbd8c239b30.png,143_682e9bbd599bcaa36e585edfaf890633,image/png,800050,1713190089
119,4101,Illiade 2024.JPG,62_d9dab05ac5cc3b937333cd9d0e6c096d,image/jpeg,128615,1713684197
120,4103,STAT_PAYS.JPG,62_09509bc0d96164c5680fb92be90d6247,image/jpeg,31374,1713685016
121,4148,classement1.png,106_d22127cf574644a3708e5d65156b346c,image/png,48352,1713810584
122,4148,Classement 2.png,106_b42edbf2980fca6d2891950d32bae61a,image/png,45329,1713810590
123,4148,Classement 3.png,106_58abd228f8a80ef747e5fef58ba304d5,image/png,4148,1713810596
125,4163,sylverster-stallone-marionnette-archetype-du-republicain-americain.jpg,143_19e77cff57c91db63ad6f46b291c9bdc,image/jpeg,11126,1713886800
126,4190,Carte Standard 00 Brouillard - France.jpg,143_c051ae16133a400fe650226eebc6936f,image/jpeg,184771,1714573194
127,4206,Carte Standard Brouillard version OC petit - France.jpg,143_3dff733da55bc819781fb8ef9a2d98ec,image/jpeg,103368,1714742202
128,4206,Carte Standard Brouillard version ZZ petit - France.jpg,143_c527a1b24cbc342340034ceb5483f23d,image/jpeg,99240,1714742213
130,4269,image004.png,106_95719a037cfc64e959fb2d023109d9a4,image/png,53794,1715598410
131,4315,Screenshot_20240517-182456~2.png,70_1f4a8a839227ea43fd463aa0a831307f,image/png,264078,1715963327
132,4315,Screenshot_20240517-182948~2.png,70_481cd20f8091dd017541273ea4e0a638,image/png,213166,1715963463
133,4368,image001.png,106_84a9fbbdd36e180ac0486e570ef8d99a,image/png,41802,1717063814
135,4407,0501-contrat diplo Jérémie.pdf,2_43656a49d00d5f71bb9c390c1f505f75,application/pdf,162288,1717424010
136,4418,Screenshot_20240603-183720~2.png,70_a522f58cce5ee16470fbb464ff623ea8,image/png,933430,1717433015
137,4523,image001.png,106_6ad3e90041f1e9ee787304e418b49c45,image/png,9248,1719324551
139,4534,T-négo 2024 qualifs.png,92_4aaa2cb7c57532009e319c305b77034e,image/png,100896,1719751565
140,4548,tournoi.png,106_74985be45128271d15d351dc860096ff,image/png,9120,1719993278
141,4626,ascii-codes-table.png,143_3c1872f8349aa6a435ec84862581fb41,image/png,53226,1721510653
142,4635,EDC_2024_affiche.jpg,59_a611accd0beb3c17df2f46bc0b71c33e,image/jpeg,146593,1721921895
143,4655,FINALE ILLIADE.JPG,62_73ccda9d88c2b1e76c4d036fdbd09482,image/jpeg,42369,1722595379
144,4681,Illiade 2024 GENERAL.JPG,62_9d73379a0bc3de3a73938f5376ff4d51,image/jpeg,68367,1724380916
189,4692,The_Known_World_1450.png,70_5655e5f5df0a71c88299fbbda9fcd66c,image/png,1057520,1735114954
145,4705,Tblitz second tour.png,106_27819b2e7497de90a470ddc9e2419c92,image/png,39268,1725438859
146,4734,Tblitz second tour.png,106_c589d61d62ec27cd805c518bd2a36b58,image/png,37567,1726235282
147,4837,version 0.7b.zip,82_5ae7cc265420590dd083496319c1db24,application/x-zip-compressed,4095211,1729605556
148,4884,ezgif.com-animated-gif-maker.gif,70_ff56c1a03f8a32d33eb2e28595d52194,image/gif,4232438,1730659090
150,4911,01 - F Noi S A Con - Bulce.png,143_14d6345e3c3a4afa43d55e30be2c1e58,image/png,43760,1731429572
151,4926,03ter - A Con - Bul.png,143_2eb12ed55c86f80fa0a893b88e71c470,image/png,12720,1731430756
152,4926,03bis - A Con - Bulcs.png,143_bb6a7dcd7cafa5adc248b209622ccfda,image/png,13985,1731430756
153,4926,03 - A Con - Bulce.png,143_80673664de2fb5df5b3250f6e47cd4ce,image/png,12025,1731430756
154,4926,04 - A Par - Mos.png,143_3650036870440e90f712870d1afd79bb,image/png,86866,1731431254
155,4927,05 - F Con - Bul.png,143_6cdf3b1f384709cb0c80922848d1b57f,image/png,24865,1731432449
156,4929,06 - A Ser S F Con - Bulcs.png,143_593d6421cec2e85c223d211ed14e434b,image/png,26105,1731433640
157,4929,06 - A Rou S F Con - Bulcs.png,143_8a70d6d96bc5ef49e22c050021859aaa,image/png,30493,1731434080
159,4938,06 - A Ser S F Con - Bulcs.png,143_224f688f9820dda4c392d9dcff74514c,image/png,26105,1731505991
161,4938,03ter - A Con - Bul.png,143_5e7c27e69013179ce573d48272a94a1e,image/png,12720,1731506433
162,4938,03bis - A Con - Bulcs.png,143_a58b19a0653fb59b52e7aa666153d84b,image/png,13985,1731506433
163,4938,03 - A Con - Bulce.png,143_41590a40ee62745dc5d2a5c88aa2286f,image/png,12025,1731506433
164,4950,03 - entourloupe.png,143_eb7fbbe8f8bb684801633e5e1bcc7caf,image/png,56394,1731586917
165,4950,02 - soutien.png,143_3fae1af4850f3dcec5c79b71430f49f2,image/png,55727,1731586917
167,4950,00 - message.png,143_bba05315824e23854dff0a2db1583249,image/png,12352,1731586917
168,4950,01 - situation.png,143_df3e369cd5cad32f167986b5d0796bc9,image/png,54916,1731587161
169,4951,02 - soutien de sa flotte.png,143_2f8d2531808b212163ee8820cef10f40,image/png,56143,1731588200
170,4951,01 - soutien de sa flotte.png,143_fc472ad161f29f157aa42ee18f87ba0a,image/png,57063,1731588200
172,4956,Règles - Support to a Split Province (p18).png,143_707831556dba3c09b3e2a9fee4464ec0,image/png,31056,1731603671
173,4958,00 - message.png,143_726443470965da98e9c75590a933c5ac,image/png,12352,1731605257
174,4961,60 - soutien defensif invalide.png,143_69fa073b2f5f5ca578cd65e641fd4ea2,image/png,72197,1731606105
177,4961,60 - convoyage invalide.png,143_ac03464511636e2293d5dade4b207eef,image/png,103149,1731606452
179,4961,60 - mouvement soutien incohérents.png,143_0870b219860620e34fbb01e3c109553c,image/png,99426,1731606807
181,4961,60 - convoi possible manquant.png,143_f2eb8d84d618ff4cd8e693cb83dfa0dc,image/png,99182,1731607827
182,4963,03ter - A Con - Bul.png,143_7a4438ff6d545800ed4a533bad00eb82,image/png,12720,1731611938
183,4963,03bis - A Con - Bulcs.png,143_a4b799675184cfbd02a84cee1ad92423,image/png,13985,1731611938
184,4963,03 - A Con - Bulce.png,143_ca9e891c8317b083ea2af6baae2550c2,image/png,12025,1731611938
186,5061,Screenshot 2024-12-18 at 10-16-54 Jeu Diplomatie en ligne.png,143_e3803bfa5b497c4b801a1080b9257dde,image/png,10023,1734513534
187,5088,Capture d’écran 2024-12-23 111614.jpg,93_06fe31c8699bc0d6626c5f5f8bc11b71,image/jpeg,90161,1734974327
188,5089,Capture d’écran 2024-12-23 111614.jpg,93_8d56bc1a9d859941ee177ef656ea001e,image/jpeg,90161,1734974578
190,5108,MesParties-fusionCol.jpg,143_5e9c2ff4f9626544b0642cfdc3b55b5d,image/jpeg,12677,1736001669
191,5115,01 Page ORDRES avec ordres.jpg,143_ae5e468ad7c32100a5fa879b7e775ec7,image/jpeg,97677,1736531592
192,5115,02 Page ORDRES sans ordres.jpg,143_4802e50e9c168f0c8cc3648882fdcc20,image/jpeg,106325,1736531592
193,5115,Pas d'ordre.png,143_6ae8ec8bb1dfc907c73929cf2cd780d8,image/png,13038,1736531803
194,5118,soumission notice.png,143_c031e439f6b0bd65fe942bdee3552513,image/png,5268,1736532770
195,5119,01 TAG infobulle sur menu.png,143_720da87c248798d0c2fb351f99a8e6be,image/png,20333,1736533448
196,5119,03 TAG page ORDONNER.png,143_4935da7449ae89f820c41c7637bd4981,image/png,5490,1736533448
197,5119,02 TAG page TAGUER.png,143_04225bc1747cdaaf173aeb5057bb6249,image/png,17108,1736533500
198,5126,Validation ordre de comm.png,143_cb03d3d8e693d865a72be07bb917227c,image/png,6848,1736592721
200,5139,Fusionner ORDONNER et CONSULTER.jpg,143_0e9672de0b9bf28cebb1cbf9649d9d56,image/jpeg,64111,1736610427
201,5140,Visiter une partie.png,143_010366a4aaabebc0dbaede3d685c7fe0,image/png,339756,1736610767
204,5153,02 Flèche ordre de communication.png,143_00c1dc028c2851613b92a14a14a2223b,image/png,37796,1736943807
205,5153,01 Saisie ordre de communication.jpg,143_cb639142d41cb4d938efc09805729829,image/jpeg,57555,1736943807
206,5153,05 Indicateur d'ordre de communication.png,143_dfc9dcb19511e5c81712e581035ce70c,image/png,7654,1736943888
207,5153,04 Résolution Ordre de communication.png,143_6fc3f20976fee9261dc8f765cf52db52,image/png,64938,1736943888
208,5158,Tentative de soutien.png,143_785201f11fa5edf7d3b8a5dbfef28009,image/png,15319,1736974117
209,5174,Screenshot 2025-01-18 at 18-25-26 Jeu Diplomatie en ligne.png,143_c6edcd54102c3966236665b2c730c5d3,image/png,15571,1737221295
211,5211,Onglets exemple.png,143_e714e76f3bf15777386609f3a6bcd0d4,image/png,5541,1737484041
214,5211,00 Mes Messages.jpg,143_5abe28c9dd156822efa4103a49c0aae0,image/jpeg,292322,1737496490
215,5211,00 Mes parties.jpg,143_33a23b507025bb82554a472263c07710,image/jpeg,173942,1737496490
222,5215,Don_Quixote.png,70_c0df9795d3c146b216e182b78151a8f4,image/png,134544,1737638597
223,5215,Don_Quixote.jpg,70_aac75a6efdd1b06f6dbbda25306a0d47,image/jpeg,15088,1737638621
225,5252,Archi simple 01.jpg,143_6277d87d36ca32c31a441f2e582b7a66,image/jpeg,37993,1738148834
226,5253,Séquence Ordonner 01.jpg,143_5c9b0d0e0d8d1b28a8590d9b40deef5a,image/jpeg,46755,1738151514
227,5256,001.png,143_772882911bdc3682999caa5cd3741620,image/png,42389,1738182337
231,5259,001.png,143_f9577b1927ba4adec9b9d599694a08f1,image/png,4980,1738256480
232,5285,nav buttons.png,143_d2564d053995f8e23cbdd7b7ce8e7f05,image/png,3756,1738918921
234,5321,DiploÀDistance.png,70_e2c0872ee80f55aa83f7760583511642,image/png,357483,1739314608
235,5327,message d'erreur.png,143_3bb3f7f2ef6db002f3c05a9116023320,image/png,17729,1739454598
236,5331,PubliquePrivé.png,143_2c64bbde4b2c563a4686c5f04a9c3502,image/png,13045,1739464630
237,5339,PartiesRechercheRemplaçants.png,143_7262d601a96cdef3b01a98159cbb4ff5,image/png,12550,1739531523
243,5412,DonnéesPersonnelles.png,143_2153b6614666fcb7e3595b9a823ad644,image/png,65625,1740145322
244,5490,pay.png,59_9fcf388c8651e1f1fbf856882428836a,image/png,2060,1744787752
245,5513,ok.png,59_9317d6b54c62fc9d258a18c26b1b426a,image/png,4451,1745754979
246,5513,agreed1.jpg,59_66774967a758318e09b4cebf4cb9bc4e,image/jpeg,1820,1745755112
247,5513,agreed2.jpg,59_6baecc38669f98cac4830f3db38e33a5,image/jpeg,1854,1745755137
248,5513,agreed_after1.jpg,59_8d59dcc3523afeccb1746a20fc8220ac,image/jpeg,3179,1745755167
249,5513,agreed_after2.jpg,59_a46a5750bea4d97e1937d567aba8b6b0,image/jpeg,3060,1745755185
252,5513,not_agreed1.jpg,59_32886ad251f9e487787555dfdb97cce7,image/jpeg,2091,1745755438
253,5513,not_agreed2.jpg,59_f580ec2593e169f057cafa129dd9b24d,image/jpeg,2127,1745755456
259,5565,finale_capricorne.jpg,93_d37873b12b2f19f8100349a48d686c23,image/jpeg,106105,1750410318
285,5573,finale_Serpentaire_2024_revue.jpg,93_95ae80db1a48f292bc54a1d22e639eee,image/jpeg,139869,1753204641
258,5634,finale_verseau.jpg,93_02a7eda89253312990966e3d42b0856d,image/jpeg,105188,1750234798
269,5657,EntenteVsAlliance.png,70_6bdb94538b1cbc89ad77a0dca20a39f8,image/png,244525,1751122035
270,5657,AllianceVsEntente.jpg,70_994652c7591957a5febdcc239960eb59,image/jpeg,85799,1751122091
271,5657,EntenteVsAlliance.jpg,70_2aa8224d97080252cb60b6e9b5e821d8,image/jpeg,818939,1751122117
273,5657,EntenteVs...WTF.jpg,70_a673c0be52b6973387a8b51f2a7f8418,image/jpeg,161942,1751122252
274,5657,TripleAlliance.png,70_76dbfce7094c98fa27c41a22900fc8c5,image/png,377215,1751122290
275,5657,TripleAlliance.jpg,70_b3ea9814ba12793a5531bbf290e55a55,image/jpeg,397895,1751122332
278,5670,image007.png,106_32fda9378ebe8bb89558a6cd68ad05fb,image/png,31524,1751292138
279,5670,image008.png,106_c5ca8cb9977d0fccdaf249fd18fd4e65,image/png,37227,1751292166
280,5708,cartes_nomsFR.png,200_2346ece66da876790ba89d1243a9e41f,image/png,1684272,1752235730
283,5732,finale_Poissons 01.jpg,93_f21ae735a2a5e3fe62a3b89d895e7072,image/jpeg,150109,1753200527
284,5732,finale_Poissons 02.jpg,93_0ab803c1f720b270384603b0cabf04b5,image/jpeg,138462,1753200547
286,5826,1907i.png,200_cd3480993b14e9fcb2efef8b790853c5,image/png,1646256,1757108298
287,5836,Versailles.png,70_903081bbeaf313ae2350ee7346d9f4d1,image/png,190972,1757578129
289,5852,Versailles - Règles(playdip).pdf,70_fc6554d11ec008d5ea0b725dce14b14a,application/pdf,448494,1757689286
290,5853,Assemblée générale AFJD du 02032025.pdf,59_8ed489b0d004b9adb21ba89e9276d8e6,application/pdf,133007,1757693847
291,5858,Bildschirmfoto 2025-09-14 um 18.08.39.png,70_67de128281c781e1efa3967ec809a7c1,image/png,48245,1757866297
292,5866,finale_Bélier 01.jpg,93_cd3e40df7fb57cde402ec4b347fc0b59,image/jpeg,143544,1758213935
293,5866,finale_Bélier 02.jpg,93_84058a6c79943b3d748d4f553b4dd8c9,image/jpeg,137090,1758213975
294,5877,finale_Taureau 01.jpg,93_cc4bf61b0245634eff9ea726d2282e90,image/jpeg,147924,1758967428
295,5877,finale_Taureau 02.jpg,93_33576ef4946ce108aeaed05bcf9cd43f,image/jpeg,150100,1758967461
296,5878,finale_Taureau 01.jpg,93_74405bcb44a96f04e95f77f4dc1b160f,image/jpeg,147924,1758968466
297,5878,finale_Taureau 02.jpg,93_b5d65ac4f01fadcd7dd69c1424af85d8,image/jpeg,150100,1758968492
298,5933,2nd tour Tblitz.png,106_53c98045f4f54eec43a63ded5743abc1,image/png,24166,1761203148
